Date Part,Data Value,Date (Months),Date (Quarters),Date (Years),Date,Indicator (group),Indicator1,Month,Number of Records,State Name1,Year
1/1/2017,1564,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Kentucky,2017
1/1/2015,44191,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Louisiana,2015
1/1/2016,43768,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Louisiana,2016
1/1/2017,44908,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Louisiana,2017
1/1/2015,802,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Louisiana,2015
1/1/2016,941,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Louisiana,2016
1/1/2017,1013,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Louisiana,2017
1/1/2015,58523,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Massachusetts,2015
1/1/2016,56937,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Massachusetts,2016
1/1/2017,59156,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Massachusetts,2017
1/1/2015,1408,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Massachusetts,2015
1/1/2016,2001,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Massachusetts,2016
1/1/2017,2059,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Massachusetts,2017
1/1/2015,122,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Maryland,2015
1/1/2016,221,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Maryland,2016
1/1/2017,404,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Maryland,2017
1/1/2015,331,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Maryland,2015
1/1/2016,560,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Maryland,2016
1/1/2017,613,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Maryland,2017
1/1/2015,170,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Maryland,2015
1/1/2016,180,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Maryland,2016
1/1/2017,218,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Maryland,2017
1/1/2015,394,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Maryland,2015
1/1/2016,551,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Maryland,2016
1/1/2017,663,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Maryland,2017
1/1/2015,47301,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Maryland,2015
1/1/2016,47120,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Maryland,2016
1/1/2017,49666,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Maryland,2017
1/1/2015,1137,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Maryland,2015
1/1/2016,1683,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Maryland,2016
1/1/2017,2274,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Maryland,2017
1/1/2015,965,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Maryland,2015
1/1/2016,1491,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Maryland,2016
1/1/2017,2036,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Maryland,2017
1/1/2015,98.50483729,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Maryland,2015
1/1/2016,98.75222816,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Maryland,2016
1/1/2017,98.63676341,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Maryland,2017
1/1/2015,18,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Maryland,2015
1/1/2016,28,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Maryland,2016
1/1/2017,56,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Maryland,2017
1/1/2015,227,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Maryland,2015
1/1/2016,706,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Maryland,2016
1/1/2017,1455,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Maryland,2017
1/1/2015,22,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Maine,2015
1/1/2016,48,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Maine,2016
1/1/2017,67,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Maine,2017
1/1/2015,44,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Maine,2015
1/1/2016,54,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Maine,2016
1/1/2017,49,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Maine,2017
1/1/2015,39,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Maine,2015
1/1/2016,35,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Maine,2016
1/1/2017,32,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Maine,2017
1/1/2015,99,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Maine,2015
1/1/2016,120,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Maine,2016
1/1/2017,115,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Maine,2017
